,rank,asin,stars,reviews,answers,positive votes,negative votes,price,percent discount,number sellers,Bath-Bathing-Accessories,Gift-Sets,Hair-Care-Products,Makeup,Perfumes-Fragrances,Skin-Care-Products,Tools-Accessories,Top 10,Top 20,Top 30,Top 40,Top 50,Top 60,Top 70,Top 80,Top 90,Top 100,previous rank
117,47,B071XWZ2MG,4.9,79,7,0,0,0.0,0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,33.0
118,54,B00YTCMI46,3.4,72,18,2,1,20.0,0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,1.0,2.0,76.0
119,44,B006OHM542,4.2,343,17,0,0,5.24,0,2,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,59.0
120,38,B003HBDK24,3.7,158,0,0,0,28.54,0,24,0,1,0,0,0,0,0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
121,24,B014Q9656I,4.4,813,22,14,0,28.5,0,1,0,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,3.0,0.0,19.0
122,26,B01221V6QG,4.3,87,6,1,0,55.0,0,1,0,1,0,0,0,0,0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,2.0,0.0,0.0,20.0
123,32,B01M19EROK,4.1,202,17,0,0,0.77,0,1,0,1,0,0,0,0,0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
124,28,B00K0RW4Q6,4.4,131,10,1,0,6.95,0,20,0,1,0,0,0,0,0,0.0,0.0,3.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0
125,22,B002I7N4B0,4.7,217,4,1,0,28.28,0,31,0,1,0,0,0,0,0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
126,25,B01CPUVTI4,4.2,124,15,0,0,2.95,58,1,0,1,0,0,0,0,0,0.0,0.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0
127,34,B003BLBLVC,4.6,400,12,3,3,24.79,0,39,0,1,0,0,0,0,0,0.0,0.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0
128,39,B00S0SD45M,4.5,110,0,0,0,6.99,0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,52.0
129,40,B001D5599I,4.5,680,15,4,0,23.99,0,40,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,7.0,1.0,0.0,0.0,0.0,46.0
130,27,B016UMZFQU,4.1,418,34,0,0,12.99,0,1,0,1,0,0,0,0,0,0.0,0.0,1.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0,30.0
131,36,B00C932DU6,4.4,122,8,1,0,15.95,60,1,0,1,0,0,0,0,0,0.0,0.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,35.0
132,30,B002N0U37A,4.2,1195,121,20,0,29.99,0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,31.0
133,35,B01MA69E8X,4.5,65,10,1,1,15.94,60,1,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0,4.0,3.0,3.0,0.0,0.0,0.0,37.0
134,37,B00UGHNIWO,4.3,1462,46,106,0,24.95,58,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,2.0,0.0,0.0,49.0
135,33,B00Y1CS2XK,4.5,890,47,6,0,12.95,74,1,0,1,0,0,0,0,0,0.0,0.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,41.0
136,21,B004O24Q8W,4.3,809,38,10,0,51.99,0,1,0,1,0,0,0,0,0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
137,23,B00MW8E1MQ,4.2,133,8,7,0,8.99,0,1,0,1,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
138,29,B004O276P2,4.7,820,34,10,0,36.16,0,14,0,1,0,0,0,0,0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
139,31,B009NPOXVK,4.5,259,4,3,0,41.14,0,1,0,1,0,0,0,0,0,0.0,0.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0
140,19,B003B8G5IY,4.3,1176,18,1,0,21.36,5,64,0,1,0,0,0,0,0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
141,14,B01H6EHVK4,4.6,744,36,13,0,8.95,0,61,0,1,0,0,0,0,0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
